Pair,Price,Timeframe_Combination,Trend_Type,Higher_TF_EMA_8,Higher_TF_EMA_50,Higher_TF_EMA_200,Lower_TF_EMA_8,Lower_TF_EMA_50,Lower_TF_EMA_200,Date
GBP_JPY,200.68600,5min vs 1hr,Long,200.35646,200.05393,199.63591,200.65834,200.44109,200.25068,2025-09-15 12:58:31
GBP_JPY,200.68600,15min vs 4hr,Long,200.21028,199.65712,199.07522,200.56496,200.26911,200.05478,2025-09-15 12:58:31
GBP_CAD,1.88187,1hr vs 1d,Long,1.87335,1.85905,1.83674,1.87950,1.87702,1.87063,2025-09-15 12:58:31
GBP_CAD,1.88187,4hr vs weekly,Long,1.86696,1.82767,1.74969,1.87817,1.87104,1.86128,2025-09-15 12:58:31
GBP_CAD,1.88187,5min vs 1hr,Long,1.87950,1.87702,1.87063,1.88166,1.88038,1.87833,2025-09-15 12:58:31
GBP_CAD,1.88187,15min vs 4hr,Long,1.87817,1.87104,1.86128,1.88120,1.87874,1.87717,2025-09-15 12:58:31
CHF_JPY,185.46300,1hr vs 1d,Long,184.97222,183.16238,177.93198,185.29540,185.18837,184.87833,2025-09-15 12:58:31
CHF_JPY,185.46300,4hr vs weekly,Long,184.12545,176.90924,159.96210,185.25771,184.85984,184.07743,2025-09-15 12:58:31
CHF_JPY,185.46300,5min vs 1hr,Long,185.29540,185.18837,184.87833,185.41642,185.29905,185.27265,2025-09-15 12:58:31
CHF_JPY,185.46300,15min vs 4hr,Long,185.25771,184.85984,184.07743,185.36442,185.25429,185.17717,2025-09-15 12:58:31
CAD_CHF,0.57502,1hr vs 1d,Short,0.57680,0.58314,0.60060,0.57532,0.57557,0.57729,2025-09-15 12:58:31
CAD_CHF,0.57502,4hr vs weekly,Short,0.57963,0.60418,0.65301,0.57545,0.57729,0.58108,2025-09-15 12:58:31
CAD_CHF,0.57502,5min vs 1hr,Short,0.57532,0.57557,0.57729,0.57515,0.57528,0.57546,2025-09-15 12:58:31
CAD_CHF,0.57502,15min vs 4hr,Short,0.57545,0.57729,0.58108,0.57518,0.57543,0.57555,2025-09-15 12:58:31
AUD_JPY,98.18800,1hr vs 1d,Long,97.57442,96.18328,95.95671,98.16773,98.05294,97.42764,2025-09-15 12:58:31
AUD_JPY,98.18800,4hr vs weekly,Long,96.83064,95.93976,93.33343,98.14700,97.43171,96.52332,2025-09-15 12:58:31
AUD_NZD,1.11712,4hr vs weekly,Long,1.10751,1.09530,1.08607,1.11670,1.11341,1.10544,2025-09-15 12:58:31
